Station Name: BENNETTSBRIDGE G.S.
Station Height: 37 M 
Latitude:52.587  ,Longitude: -7.183


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
11-jan-1997,0,0.500
12-jan-1997,0,0.700
13-jan-1997,0,0.400
14-jan-1997,0,0.300
15-jan-1997,4,0.000
16-jan-1997,0,5.800
17-jan-1997,0,7.300
18-jan-1997,0,0.200
19-jan-1997,0,0.000
20-jan-1997,0,0.000
21-jan-1997,0,0.000
22-jan-1997,4,0.000
23-jan-1997,0,2.200
24-jan-1997,0,1.000
25-jan-1997,4,0.000
26-jan-1997,0,0.000
27-jan-1997,0,0.000
28-jan-1997,0,0.000
29-jan-1997,0,0.000
30-jan-1997,0,0.000
31-jan-1997,0,4.200
01-feb-1997,0,0.400
02-feb-1997,0,1.400
03-feb-1997,0,1.600
04-feb-1997,0,0.000
05-feb-1997,0,0.200
06-feb-1997,0,0.800
07-feb-1997,0,1.200
08-feb-1997,0,2.800
09-feb-1997,0,8.200
10-feb-1997,4,0.000
11-feb-1997,0,2.700
12-feb-1997,0,3.200
13-feb-1997,0,4.800
14-feb-1997,4,0.000
15-feb-1997,0,6.800
16-feb-1997,0,6.700
17-feb-1997,0,6.000
18-feb-1997,0,10.600
19-feb-1997,1,6.900
20-feb-1997,0,1.400
21-feb-1997,4,0.000
22-feb-1997,0,6.400
23-feb-1997,0,8.200
24-feb-1997,0,4.100
25-feb-1997,0,8.400
26-feb-1997,0,0.300
27-feb-1997,0,2.500
28-feb-1997,0,4.000
01-mar-1997,0,1.100
02-mar-1997,0,0.000
03-mar-1997,1,0.600
04-mar-1997,1,0.800
05-mar-1997,0,0.200
06-mar-1997,0,0.700
07-mar-1997,0,0.500
08-mar-1997,0,0.000
09-mar-1997,4,0.000
10-mar-1997,0,0.000
11-mar-1997,0,0.000
12-mar-1997,0,0.000
13-mar-1997,0,0.500
14-mar-1997,0,0.000
15-mar-1997,0,0.000
16-mar-1997,0,0.300
17-mar-1997,0,0.000
18-mar-1997,0,0.000
19-mar-1997,0,0.000
20-mar-1997,0,0.000
21-mar-1997,0,0.000
22-mar-1997,0,0.000
23-mar-1997,0,3.500
24-mar-1997,0,1.000
25-mar-1997,0,0.800
26-mar-1997,0,0.100
27-mar-1997,0,0.000
28-mar-1997,0,0.000
29-mar-1997,0,0.000
30-mar-1997,0,0.000
31-mar-1997,0,0.000
01-apr-1997,0,0.000
02-apr-1997,0,0.000
03-apr-1997,0,0.000
04-apr-1997,0,0.000
05-apr-1997,0,0.000
06-apr-1997,0,0.000
07-apr-1997,0,0.000
08-apr-1997,0,0.000
09-apr-1997,0,0.000
10-apr-1997,0,0.000
11-apr-1997,0,0.000
12-apr-1997,0,0.000
13-apr-1997,0,0.000
14-apr-1997,0,0.000
15-apr-1997,0,0.000
16-apr-1997,0,0.000
17-apr-1997,0,0.000
18-apr-1997,0,0.000
19-apr-1997,0,0.000
20-apr-1997,0,0.000
21-apr-1997,0,0.000
22-apr-1997,0,0.300
23-apr-1997,0,0.000
24-apr-1997,0,21.600
25-apr-1997,0,8.900
26-apr-1997,0,3.900
27-apr-1997,0,0.300
28-apr-1997,0,0.000
29-apr-1997,0,0.000
30-apr-1997,0,0.000
01-may-1997,0,0.000
02-may-1997,0,0.000
03-may-1997,0,4.900
04-may-1997,0,1.100
05-may-1997,0,0.200
06-may-1997,0,0.000
07-may-1997,0,3.200
08-may-1997,0,2.400
09-may-1997,0,7.600
10-may-1997,0,5.100
11-may-1997,0,1.200
12-may-1997,1,4.500
13-may-1997,1,3.300
14-may-1997,0,0.000
15-may-1997,0,0.000
16-may-1997,0,0.000
17-may-1997,0,8.700
18-may-1997,1,3.700
19-may-1997,1,12.800
20-may-1997,0,4.500
21-may-1997,0,3.800
22-may-1997,0,1.700
23-may-1997,0,0.500
24-may-1997,0,0.000
25-may-1997,0,0.000
26-may-1997,0,0.000
27-may-1997,0,0.000
28-may-1997,0,0.000
29-may-1997,0,0.000
30-may-1997,0,0.000
31-may-1997,0,0.000
01-jun-1997,0,0.000
02-jun-1997,0,0.000
03-jun-1997,0,1.500
04-jun-1997,0,1.700
05-jun-1997,0,37.300
06-jun-1997,0,14.100
07-jun-1997,0,2.100
08-jun-1997,0,0.100
09-jun-1997,4,0.000
10-jun-1997,0,21.000
11-jun-1997,0,0.500
12-jun-1997,0,1.500
13-jun-1997,0,0.300
14-jun-1997,0,0.000
15-jun-1997,0,0.000
16-jun-1997,0,0.000
17-jun-1997,0,0.000
18-jun-1997,0,7.800
19-jun-1997,0,11.400
20-jun-1997,0,12.800
21-jun-1997,0,1.100
22-jun-1997,4,0.000
23-jun-1997,0,0.000
24-jun-1997,0,12.500
25-jun-1997,0,0.900
26-jun-1997,0,0.000
27-jun-1997,0,0.000
28-jun-1997,0,0.000
29-jun-1997,0,0.000
30-jun-1997,0,0.000
01-jul-1997,0,0.700
02-jul-1997,1,0.300
03-jul-1997,1,3.700
04-jul-1997,0,0.000
05-jul-1997,0,0.000
06-jul-1997,0,0.000
07-jul-1997,0,0.000
08-jul-1997,0,0.000
09-jul-1997,0,0.000
10-jul-1997,0,0.700
11-jul-1997,1,7.200
12-jul-1997,1,11.300
13-jul-1997,0,0.000
14-jul-1997,0,6.500
15-jul-1997,0,0.000
16-jul-1997,0,0.000
17-jul-1997,0,0.000
18-jul-1997,0,0.000
19-jul-1997,0,0.000
20-jul-1997,0,0.000
21-jul-1997,0,0.000
22-jul-1997,0,0.000
23-jul-1997,0,0.000
24-jul-1997,0,0.000
25-jul-1997,0,0.000
26-jul-1997,0,0.000
27-jul-1997,1,0.600
28-jul-1997,1,0.100
29-jul-1997,1,15.300
30-jul-1997,1,0.300
31-jul-1997,0,0.300
01-aug-1997,0,0.000
02-aug-1997,0,14.400
03-aug-1997,0,89.600
04-aug-1997,0,76.300
05-aug-1997,0,12.500
06-aug-1997,0,4.000
07-aug-1997,0,1.100
08-aug-1997,0,0.000
09-aug-1997,0,0.000
10-aug-1997,0,1.000
11-aug-1997,0,0.000
12-aug-1997,0,0.500
13-aug-1997,0,0.300
14-aug-1997,0,1.200
15-aug-1997,0,0.000
16-aug-1997,0,2.200
17-aug-1997,0,0.000
18-aug-1997,0,2.100
19-aug-1997,0,4.300
20-aug-1997,0,2.400
21-aug-1997,0,3.000
22-aug-1997,0,5.600
23-aug-1997,0,5.300
24-aug-1997,0,0.000
25-aug-1997,0,6.200
26-aug-1997,0,28.400
27-aug-1997,0,4.200
28-aug-1997,0,5.100
29-aug-1997,0,1.500
30-aug-1997,0,19.500
31-aug-1997,0,5.200
